Compound_Name,MOL_WEIGHT,IC50,Target Name,SMILES
BDBM15096,405.933,0.079,RAC-alpha serine/threonine-protein kinase,N[C@H](CNc1cnc(Cl)c(/C=C/c2ccncc2)c1)CC1CNc2ccccc21
BDBM15097,369.472,0.0097,RAC-alpha serine/threonine-protein kinase,N[C@H](CNc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12
BDBM15098,383.455,0.278,RAC-alpha serine/threonine-protein kinase,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1cncc(/C=C/c2ccncc2)c1
BDBM15101,394.478,0.668,RAC-alpha serine/threonine-protein kinase,N[C@@H](Cc1cccc2ccccc12)C(=O)Nc1cncc(/C=C/c2ccncc2)c1
BDBM15103,301.393,0.284,RAC-alpha serine/threonine-protein kinase,NCC(c1ccccc1)c1cncc(/C=C/c2ccncc2)c1
BDBM15104,354.457,0.76,RAC-alpha serine/threonine-protein kinase,Cn1cc(C(CN)c2cncc(/C=C/c3ccncc3)c2)c2ccccc21
BDBM15115,385.471,0.121,RAC-alpha serine/threonine-protein kinase,Nc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1
BDBM15116,399.498,0.176,RAC-alpha serine/threonine-protein kinase,CNc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1
BDBM15117,413.525,0.163,RAC-alpha serine/threonine-protein kinase,CCNc1cc(/C=C/c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccn1
BDBM15118,425.536,0.069,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(/C=C/c2ccnc(NC3CC3)c2)c1)Cc1c[nH]c2ccccc12
BDBM15119,475.596,0.147,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(/C=C/c2ccnc(NCc3ccccc3)c2)c1)Cc1c[nH]c2ccccc12
BDBM15138,358.445,0.014,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12
BDBM15149,511.629,0.295,RAC-alpha serine/threonine-protein kinase,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4nc3-c3ccccc3)cc2)CC1
BDBM15152,491.595,0.76,RAC-alpha serine/threonine-protein kinase,Cc1nc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]c1=O
BDBM15174,487.582,0.865,RAC-alpha serine/threonine-protein kinase,N#Cc1cnc(-c2ccc(CN3CCC(c4nc5cc(F)ccc5[nH]4)CC3)cc2)c(-c2ccccc2)c1
BDBM15179,528.62,0.273,RAC-alpha serine/threonine-protein kinase,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3ncc(-c4nnn[nH]4)cc3-c3ccccc3)cc2)CC1
BDBM15180,502.607,0.177,RAC-alpha serine/threonine-protein kinase,c1ccc(-c2cc(-c3nn[nH]n3)cnc2-c2ccc(CNCc3ccc(-c4csnn4)cc3)cc2)cc1
BDBM15181,530.611,0.239,RAC-alpha serine/threonine-protein kinase,Fc1ccc2[nH]c(C3CCN(Cc4ccc(-c5ncc(-c6nn[nH]n6)cc5-c5ccccc5)cc4)CC3)nc2c1
BDBM15182,526.648,0.763,RAC-alpha serine/threonine-protein kinase,Cc1ccc2[nH]c(C3CCN(Cc4ccc(-c5ncc(-c6nn[nH]n6)cc5-c5ccccc5)cc4)CC3)nc2c1
BDBM16219,337.854,0.032,RAC-alpha serine/threonine-protein kinase,Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1
BDBM16532,398.47,0.00034,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2cnc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc12
BDBM16533,359.429,0.016,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3c(c2)CC(=O)N3)c1)Cc1ccccc1
BDBM16534,436.515,0.0006,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3c(c2)/C(=C/c2ccc[nH]2)C(=O)N3)c1)Cc1ccccc1
BDBM16535,437.499,0.0014,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3c(c2)/C(=C\c2ccco2)C(=O)N3)c1)Cc1ccccc1
BDBM16536,376.435,0.0084,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(F)c4)c3)cc12
BDBM16537,394.425,0.0085,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(F)c4F)c3)cc12
BDBM16538,394.425,0.021,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(F)cc4F)c3)cc12
BDBM16539,394.425,0.0655,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c(F)cccc4F)c3)cc12
BDBM16540,412.415,0.012,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(F)c(F)c4F)c3)cc12
BDBM16541,412.415,0.031,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c(F)cc(F)cc4F)c3)cc12
BDBM16542,392.89,0.029,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4Cl)c3)cc12
BDBM16543,392.89,0.0059,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(Cl)c4)c3)cc12
BDBM16544,392.89,0.011,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(Cl)cc4)c3)cc12
BDBM16545,437.341,0.023,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4Br)c3)cc12
BDBM16546,437.341,0.0021,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(Br)c4)c3)cc12
BDBM16547,437.341,0.005,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(Br)cc4)c3)cc12
BDBM16548,484.341,0.0009,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(I)c4)c3)cc12
BDBM16549,410.88,0.0031,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(F)c(Cl)c4)c3)cc12
BDBM16550,410.88,0.0036,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(Cl)c(F)c4)c3)cc12
BDBM16551,427.335,0.0056,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(Cl)c4Cl)c3)cc12
BDBM16552,427.335,0.0018,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(Cl)c(Cl)c4)c3)cc12
BDBM16553,427.335,0.0207,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cc(Cl)cc(Cl)c4)c3)cc12
BDBM16554,455.331,0.01,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(Br)cc4F)c3)cc12
BDBM16555,455.331,0.0013,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(Br)c(F)c4)c3)cc12
BDBM16556,473.321,0.049,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4c(F)cc(F)cc4Br)c3)cc12
BDBM16557,390.462,0.0039,RAC-alpha serine/threonine-protein kinase,Cc1ccc(F)cc1C[C@H](N)COc1cncc(-c2ccc3[nH]nc(C)c3c2)c1
BDBM16558,451.368,0.0025,RAC-alpha serine/threonine-protein kinase,Cc1cc(C[C@H](N)COc2cncc(-c3ccc4[nH]nc(C)c4c3)c2)ccc1Br
BDBM16559,390.462,0.011,RAC-alpha serine/threonine-protein kinase,Cc1cc(C[C@H](N)COc2cncc(-c3ccc4[nH]nc(C)c4c3)c2)ccc1F
BDBM16560,390.462,0.006,RAC-alpha serine/threonine-protein kinase,Cc1cc(F)ccc1C[C@H](N)COc1cncc(-c2ccc3[nH]nc(C)c3c2)c1
BDBM16561,390.462,0.0024,RAC-alpha serine/threonine-protein kinase,Cc1ccc(C[C@H](N)COc2cncc(-c3ccc4[nH]nc(C)c4c3)c2)cc1F
BDBM16562,400.526,0.039,RAC-alpha serine/threonine-protein kinase,Cc1cc(C)c(C[C@H](N)COc2cncc(-c3ccc4[nH]nc(C)c4c3)c2)c(C)c1
BDBM16563,406.461,0.0077,RAC-alpha serine/threonine-protein kinase,COc1ccc(F)cc1C[C@H](N)COc1cncc(-c2ccc3[nH]nc(C)c3c2)c1
BDBM16564,426.442,0.0012,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(C(F)(F)F)c4)c3)cc12
BDBM16565,426.442,0.018,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(C(F)(F)F)cc4)c3)cc12
BDBM16566,494.439,0.057,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cc(C(F)(F)F)cc(C(F)(F)F)c4)c3)cc12
BDBM16567,444.432,0.0018,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(F)c(C(F)(F)F)c4)c3)cc12
BDBM16568,444.432,0.0133,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cc(F)cc(C(F)(F)F)c4)c3)cc12
BDBM16569,444.432,0.0012,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cc(C(F)(F)F)ccc4F)c3)cc12
BDBM16570,444.432,0.0031,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(C(F)(F)F)c(F)c4)c3)cc12
BDBM16571,444.432,0.0121,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(C(F)(F)F)cc4F)c3)cc12
BDBM16572,442.441,0.0153,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4OC(F)(F)F)c3)cc12
BDBM16573,442.441,0.0033,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(OC(F)(F)F)c4)c3)cc12
BDBM16574,442.441,0.0203,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(OC(F)(F)F)cc4)c3)cc12
BDBM16575,434.543,0.126,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(-c5ccccc5)c4)c3)cc12
BDBM16576,402.454,0.042,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc5c(c4)OCO5)c3)cc12
BDBM16577,438.434,0.014,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc5c4OC(F)(F)O5)c3)cc12
BDBM16578,488.441,0.013,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc5c(c4)OC(F)(F)C(F)(F)O5)c3)cc12
BDBM16579,487.604,0.751,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(OCCN5CCOCC5)c4)c3)cc12
BDBM16580,485.632,0.29,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(OCCC5CCNCC5)c4)c3)cc12
BDBM16581,471.605,0.0068,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(OCC5CCNCC5)c4)c3)cc12
BDBM16583,485.632,0.078,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(OCC5CCN(C)CC5)c4)c3)cc12
BDBM16584,417.513,0.047,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(OCCN)c4)c3)cc12
BDBM16585,413.403,0.0072,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2cc3cn[nH]c3cn2)c1)Cc1cccc(C(F)(F)F)c1
BDBM16586,447.848,0.0029,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2cc3c(Cl)n[nH]c3cn2)c1)Cc1cccc(C(F)(F)F)c1
BDBM16587,427.43,0.0006,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2cnc(-c3cncc(OC[C@@H](N)Cc4cccc(C(F)(F)F)c4)c3)cc12
BDBM16588,395.413,0.005,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2cnc(-c3cncc(OC[C@@H](N)Cc4cccc(F)c4F)c3)cc12
BDBM16783,383.455,0.0015,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3[nH]ncc3c2)c1)Cc1c[nH]c2ccccc12
BDBM16784,417.9,0.001,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3[nH]nc(Cl)c3c2)c1)Cc1c[nH]c2ccccc12
BDBM16785,451.452,0.0018,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3[nH]nc(C(F)(F)F)c3c2)c1)Cc1c[nH]c2ccccc12
BDBM16786,428.452,0.953,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2cc3cn[nH]c3cc2[N+](=O)[O-])c1)Cc1c[nH]c2ccccc12
BDBM16787,398.47,0.051,RAC-alpha serine/threonine-protein kinase,Nc1cc2[nH]ncc2cc1-c1cncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)c1
BDBM16788,432.915,0.0071,RAC-alpha serine/threonine-protein kinase,Nc1cc2[nH]nc(Cl)c2cc1-c1cncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)c1
BDBM16790,345.406,0.223,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2cc3cn[nH]c3cn2)c1)Cc1ccccc1
BDBM16791,359.433,0.025,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2cnc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12
BDBM16792,379.851,0.059,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2cc3c(Cl)n[nH]c3cn2)c1)Cc1ccccc1
BDBM16793,375.432,0.104,RAC-alpha serine/threonine-protein kinase,Cc1n[nH]c2c[n+]([O-])c(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12
BDBM16794,371.444,0.013,RAC-alpha serine/threonine-protein kinase,C=Cc1n[nH]c2cnc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12
BDBM16795,411.465,0.0061,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2cc3c(-c4ccco4)n[nH]c3cn2)c1)Cc1ccccc1
BDBM16796,424.508,0.228,RAC-alpha serine/threonine-protein kinase,Cn1cccc1-c1n[nH]c2cnc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12
BDBM16797,421.504,0.0083,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2cc3c(-c4ccccc4)n[nH]c3cn2)c1)Cc1ccccc1
BDBM16919,400.507,0.179,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2cc3ccncc3s2)c1)Cc1c[nH]c2ccccc12
BDBM16923,398.466,0.0032,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3c(c2)CC(=O)N3)c1)Cc1c[nH]c2ccccc12
BDBM16924,399.454,0.0074,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2cnc3c(c2)CC(=O)N3)c1)Cc1c[nH]c2ccccc12
BDBM16925,412.449,0.0054,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3c(c2)C(=O)C(=O)N3)c1)Cc1c[nH]c2ccccc12
BDBM16930,400.438,0.0043,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3[nH]c(=O)oc3c2)c1)Cc1c[nH]c2ccccc12
BDBM16931,416.506,0.099,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3[nH]c(=O)sc3c2)c1)Cc1c[nH]c2ccccc12
BDBM16934,412.493,0.004,RAC-alpha serine/threonine-protein kinase,CC1C(=O)Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc21
BDBM16935,426.52,0.0527,RAC-alpha serine/threonine-protein kinase,CCC1C(=O)Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc21
BDBM16937,438.531,0.08,RAC-alpha serine/threonine-protein kinase,CC(C)=C1C(=O)Nc2ccc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)cc21
BDBM16938,434.446,0.0015,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3c(c2)C(F)(F)C(=O)N3)c1)Cc1c[nH]c2ccccc12
BDBM16954,428.923,0.0018,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cnc(Cl)c(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12
BDBM16955,419.488,0.0046,RAC-alpha serine/threonine-protein kinase,N#Cc1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2cnccc2c1
BDBM16956,420.516,0.002,RAC-alpha serine/threonine-protein kinase,C=Cc1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2cnccc2c1
BDBM16957,460.537,0.0015,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cnc(-c2ccco2)c(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12
BDBM16958,418.5,0.0008,RAC-alpha serine/threonine-protein kinase,C#Cc1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2cnccc2c1
BDBM16960,428.923,0.012,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cc(-c2ccc3cnccc3c2)cnc1Cl)Cc1c[nH]c2ccccc12
BDBM16961,408.505,0.084,RAC-alpha serine/threonine-protein kinase,Cc1c(OC[C@@H](N)Cc2c[nH]c3ccccc23)cncc1-c1ccc2cnccc2c1
BDBM16962,445.526,0.697,RAC-alpha serine/threonine-protein kinase,N#C/C=C/c1c(OC[C@@H](N)Cc2c[nH]c3ccccc23)cncc1-c1ccc2cnccc2c1
BDBM16963,412.468,0.227,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3c(F)nccc3c2)c1)Cc1c[nH]c2ccccc12
BDBM16965,428.923,0.778,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3c(Cl)nccc3c2)c1)Cc1c[nH]c2ccccc12
BDBM16967,409.493,0.16,RAC-alpha serine/threonine-protein kinase,Nc1nccc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc12
BDBM16968,412.468,0.0035,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3cnc(F)cc3c2)c1)Cc1c[nH]c2ccccc12
BDBM16969,428.923,0.407,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3cnc(Cl)cc3c2)c1)Cc1c[nH]c2ccccc12
BDBM16970,419.488,0.64,RAC-alpha serine/threonine-protein kinase,N#Cc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1
BDBM16971,422.532,0.144,RAC-alpha serine/threonine-protein kinase,CCc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1
BDBM16972,420.516,0.022,RAC-alpha serine/threonine-protein kinase,C=Cc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1
BDBM16973,460.537,0.057,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3cnc(-c4ccco4)cc3c2)c1)Cc1c[nH]c2ccccc12
BDBM16974,470.576,0.305,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3cnc(-c4ccccc4)cc3c2)c1)Cc1c[nH]c2ccccc12
BDBM16975,471.564,0.122,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3cnc(-c4ccncc4)cc3c2)c1)Cc1c[nH]c2ccccc12
BDBM16976,432.527,0.18,RAC-alpha serine/threonine-protein kinase,CC#Cc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1
BDBM16977,494.598,0.056,RAC-alpha serine/threonine-protein kinase,N[C@H](COc1cncc(-c2ccc3cnc(C#Cc4ccccc4)cc3c2)c1)Cc1c[nH]c2ccccc12
BDBM16978,409.493,0.0034,RAC-alpha serine/threonine-protein kinase,Nc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1
BDBM16979,409.493,0.015,RAC-alpha serine/threonine-protein kinase,Nc1c(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)ccc2cnccc12
BDBM16980,408.505,0.995,RAC-alpha serine/threonine-protein kinase,Cc1cc(-c2cncc(OC[C@@H](N)Cc3c[nH]c4ccccc34)c2)cc2ccncc12
BDBM24837,277.291,0.21,RAC-alpha serine/threonine-protein kinase,c1ccc(-c2nnc[nH]2)c(Nc2ncnc3[nH]ccc23)c1
BDBM24839,291.318,0.425,RAC-alpha serine/threonine-protein kinase,Cc1c[nH]c2ncnc(Nc3ccccc3-c3nnc[nH]3)c12
BDBM24840,311.736,0.318,RAC-alpha serine/threonine-protein kinase,Clc1c[nH]c2ncnc(Nc3ccccc3-c3nnc[nH]3)c12
BDBM24841,291.318,0.151,RAC-alpha serine/threonine-protein kinase,Cc1nnc(-c2ccccc2Nc2ncnc3[nH]ccc23)[nH]1
BDBM24842,325.763,0.171,RAC-alpha serine/threonine-protein kinase,Cc1nnc(-c2cc(Cl)ccc2Nc2ncnc3[nH]ccc23)[nH]1
BDBM24844,273.524125,0.294,RAC-alpha serine/threonine-protein kinase,c1nc(N2CCc3[nH]cnc3C2)c2cc[nH]c2n1
BDBM24845,274.715,0.042,RAC-alpha serine/threonine-protein kinase,Clc1c[nH]c2ncnc(N3CCc4[nH]cnc4C3)c12
BDBM24846,305.385,0.0053,RAC-alpha serine/threonine-protein kinase,c1ccc2c(c1)N(c1ncnc3[nH]ccc13)CC21CCNCC1
BDBM24847,339.83,0.0048,RAC-alpha serine/threonine-protein kinase,Clc1ccc2c(c1)C1(CCNCC1)CN2c1ncnc2[nH]ccc12
BDBM24848,323.375,0.075,RAC-alpha serine/threonine-protein kinase,Fc1ccc2c(c1)C1(CCNCC1)CN2c1ncnc2[nH]ccc12
BDBM24849,319.412,0.0127,RAC-alpha serine/threonine-protein kinase,CN1CCC2(CC1)CN(c1ncnc3[nH]ccc13)c1ccccc12
BDBM24852,339.83,0.0058,RAC-alpha serine/threonine-protein kinase,Clc1c[nH]c2ncnc(N3CC4(CCNCC4)c4ccccc43)c12
BDBM24853,319.412,0.122,RAC-alpha serine/threonine-protein kinase,Cc1c[nH]c2ncnc(N3CC4(CCNCC4)c4ccccc43)c12
BDBM24855,330.395,0.0024,RAC-alpha serine/threonine-protein kinase,N#Cc1c[nH]c2ncnc(N3CC4(CCNCC4)c4ccccc43)c12
BDBM24856,429.549,0.226,RAC-alpha serine/threonine-protein kinase,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CNCCC(N)=O)cc3)nc2n1
BDBM24857,498.7,0.765,RAC-alpha serine/threonine-protein kinase,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CNCCCN4CCN(C)CC4)cc3)nc2n1
BDBM24858,452.587,0.099,RAC-alpha serine/threonine-protein kinase,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CNCCc4c[nH]cn4)cc3)nc2n1
BDBM24859,453.575,0.139,RAC-alpha serine/threonine-protein kinase,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CNCCc4nc[nH]n4)cc3)nc2n1
BDBM24860,469.639,0.198,RAC-alpha serine/threonine-protein kinase,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CNCCc4nccs4)cc3)nc2n1
BDBM24861,463.61,0.09,RAC-alpha serine/threonine-protein kinase,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CNCCc4cccnc4)cc3)nc2n1
BDBM24862,466.614,0.137,RAC-alpha serine/threonine-protein kinase,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CNCCCn4ccnc4)cc3)nc2n1
BDBM24864,467.602,0.162,RAC-alpha serine/threonine-protein kinase,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CNCCc4n[nH]c(C)n4)cc3)nc2n1
BDBM24865,529.673,0.063,RAC-alpha serine/threonine-protein kinase,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CNCCc4n[nH]c(-c5ccccc5)n4)cc3)nc2n1
BDBM24866,485.642,0.046,RAC-alpha serine/threonine-protein kinase,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CNCCc4nnc(N)s4)cc3)nc2n1
BDBM24867,505.647,0.078,RAC-alpha serine/threonine-protein kinase,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CNCCC(=O)c4ccccc4N)cc3)nc2n1
BDBM24868,469.614,0.56,RAC-alpha serine/threonine-protein kinase,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CN4CCC(C(N)=O)CC4)cc3)nc2n1
BDBM24869,512.683,0.081,RAC-alpha serine/threonine-protein kinase,CCNC(=O)NC1CCN(Cc2ccc(-c3nc4nc(SC)ncc4cc3-c3ccccc3)cc2)CC1
BDBM24870,540.693,0.091,RAC-alpha serine/threonine-protein kinase,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CN4CCC(C(=O)NCCC(N)=O)CC4)cc3)nc2n1
BDBM24871,540.693,0.286,RAC-alpha serine/threonine-protein kinase,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CN4CCC(NC(=O)CNC(C)=O)CC4)cc3)nc2n1
BDBM24872,525.707,0.079,RAC-alpha serine/threonine-protein kinase,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CN4CCC(c5nnc(N)s5)CC4)cc3)nc2n1
